,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Idaho
7,Indiana
8,Iowa
9,Kansas
10,Louisiana
11,Maine
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,New Hampshire
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Dakota
26,Tennessee
27,Texas
28,Utah
29,Vermont
30,Virginia
31,Washington
32,West Virginia
33,Wisconsin
34,Wyoming
